t / fs	F(t)*F(0) / (kcal/mole/A)^2	err[F(t)*F(0)] / (kcal/mole/A)^2	lambda / N*s/m^3	err[lambda] / N*s/m^3
0.00	144.527018	1.497005	0.000000	0.000000
1.00	144.492755	1.496935	6275.814173	65.010810
2.00	144.390078	1.496700	12548.654797	130.014978
3.00	144.219381	1.496301	18815.559354	195.005361
4.00	143.981319	1.495740	25073.588070	259.974856
5.00	143.676793	1.495019	31319.834946	324.916422
6.00	143.306945	1.494141	37551.438369	389.823105
7.00	142.873142	1.493109	43765.591206	454.688054
8.00	142.376962	1.491928	49959.550265	519.504544
9.00	141.820174	1.490601	56130.645028	584.265993
10.00	141.204721	1.489133	62276.285610	648.965975
11.00	140.532702	1.487530	68393.969853	713.598240
12.00	139.806345	1.485797	74481.289556	778.156727
13.00	139.027993	1.483941	80535.935803	842.635569
14.00	138.200079	1.481966	86555.703390	907.029112
15.00	137.325111	1.479881	92538.494372	971.331917
16.00	136.405644	1.477690	98482.320745	1035.538769
17.00	135.444271	1.475400	104385.306315	1099.644678
18.00	134.443600	1.473018	110245.687788	1163.644890
19.00	133.406238	1.470551	116061.815147	1227.534879
20.00	132.334783	1.468004	121832.151367	1291.310354
21.00	131.231800	1.465385	127555.271537	1354.967257
22.00	130.099821	1.462699	133229.861455	1418.501761
23.00	128.941328	1.459952	138854.715756	1481.910267
24.00	127.758747	1.457150	144428.735652	1545.189399
25.00	126.554439	1.454300	149950.926329	1608.336005
26.00	125.330700	1.451406	155420.394078	1671.347144
27.00	124.089749	1.448474	160836.343206	1734.220092
28.00	122.833730	1.445510	166198.072783	1796.952327
29.00	121.564708	1.442517	171504.973277	1859.541531
30.00	120.284668	1.439502	176756.523111	1921.985579
31.00	118.995516	1.436468	181952.285179	1984.282538
32.00	117.699077	1.433419	187091.903363	2046.430663
33.00	116.397095	1.430361	192175.099067	2108.428384
34.00	115.091237	1.427297	197201.667787	2170.274309
35.00	113.783094	1.424231	202171.475747	2231.967212
36.00	112.474181	1.421166	207084.456592	2293.506036
37.00	111.165938	1.418106	211940.608168	2354.889883
38.00	109.859737	1.415055	216739.989370	2416.118009
39.00	108.556878	1.412014	221482.717077	2477.189819
40.00	107.258592	1.408989	226168.963163	2538.104867
41.00	105.966046	1.405980	230798.951577	2598.862844
42.00	104.680341	1.402991	235372.955501	2659.463577
43.00	103.402514	1.400025	239891.294556	2719.907021
44.00	102.133542	1.397083	244354.332081	2780.193256
45.00	100.874338	1.394167	248762.472443	2840.322480
