t / fs	F(t)*F(0) / (kcal/mole/A)^2	err[F(t)*F(0)] / (kcal/mole/A)^2	lambda / N*s/m^3	err[lambda] / N*s/m^3
0.00	145.440333	1.544175	0.000000	0.000000
1.00	145.405695	1.544112	6315.469703	67.059465
2.00	145.301925	1.543917	12627.934001	134.113326
3.00	145.129419	1.543592	18934.399216	201.155879
4.00	144.888836	1.543137	25231.894566	268.181447
5.00	144.581083	1.542554	31517.483265	335.184389
6.00	144.207310	1.541845	37788.273212	402.159120
7.00	143.768892	1.541013	44041.427144	469.100121
8.00	143.267419	1.540059	50274.172161	536.001952
9.00	142.704671	1.538987	56483.808527	602.859264
10.00	142.082604	1.537801	62667.717669	669.666813
11.00	141.403330	1.536505	68823.369330	736.419462
12.00	140.669094	1.535101	74948.327839	803.112199
13.00	139.882253	1.533594	81040.257474	869.740139
14.00	139.045258	1.531989	87096.926924	936.298531
15.00	138.160632	1.530290	93116.212856	1002.782767
16.00	137.230949	1.528501	99096.102624	1069.188380
17.00	136.258818	1.526627	105034.696149	1135.511054
18.00	135.246865	1.524673	110930.207016	1201.746620
19.00	134.197717	1.522642	116780.962860	1267.891064
20.00	133.113986	1.520539	122585.405077	1333.940522
21.00	131.998258	1.518369	128342.087940	1399.891282
22.00	130.853080	1.516135	134049.677190	1465.739783
23.00	129.680952	1.513843	139706.948147	1531.482615
24.00	128.484316	1.511496	145312.783438	1597.116515
25.00	127.265550	1.509097	150866.170372	1662.638369
26.00	126.026965	1.506651	156366.198055	1728.045205
27.00	124.770794	1.504161	161812.054276	1793.334194
28.00	123.499198	1.501632	167203.022236	1858.502645
29.00	122.214255	1.499065	172538.477152	1923.548005
30.00	120.917963	1.496465	177817.882789	1988.467850
31.00	119.612241	1.493834	183040.787958	2053.259890
32.00	118.298926	1.491175	188206.823002	2117.921959
33.00	116.979774	1.488492	193315.696301	2182.452016
34.00	115.656464	1.485786	198367.190827	2246.848140
35.00	114.330596	1.483060	203361.160745	2311.108528
36.00	113.003696	1.480317	208297.528089	2375.231492
37.00	111.677213	1.477559	213176.279514	2439.215455
38.00	110.352528	1.474788	217997.463120	2503.058954
39.00	109.030948	1.472006	222761.185371	2566.760632
40.00	107.713714	1.469215	227467.608073	2630.319236
41.00	106.402000	1.466417	232116.945442	2693.733619
42.00	105.096913	1.463614	236709.461232	2757.002736
43.00	103.799497	1.460808	241245.465928	2820.125641
44.00	102.510734	1.458001	245725.313994	2883.101487
45.00	101.231543	1.455193	250149.401172	2945.929524
46.00	99.962784	1.452388	254518.161823	3008.609096
47.00	98.705255	1.449586	258832.066309	3071.139641
48.00	97.459696	1.446788	263091.618408	3133.520688
49.00	96.226789	1.443997	267297.352767	3195.751851
50.00	95.007158	1.441214	271449.832383	3257.832835
51.00	93.801370	1.438440	275549.646125	3319.763426
52.00	92.609937	1.435677	279597.406284	3381.543490
53.00	91.433315	1.432925	283593.746172	3443.172975
54.00	90.271907	1.430186	287539.317760	3504.651901
55.00	89.126063	1.427461	291434.789372	3565.980360
56.00	87.996083	1.424751	295280.843435	3627.158512
57.00	86.882216	1.422057	299078.174292	3688.186582
58.00	85.784663	1.419380	302827.486094	3749.064856
59.00	84.703583	1.416721	306529.490767	3809.793673
60.00	83.639085	1.414079	310184.906066	3870.373429
61.00	82.591242	1.411457	313794.453725	3930.804563
62.00	81.560085	1.408854	317358.857703	3991.087561
63.00	80.545610	1.406271	320878.842539	4051.222946
64.00	79.547776	1.403708	324355.131807	4111.211277
65.00	78.566513	1.401166	327788.446695	4171.053145
